timestamp,steps,bpm
2021-01-01 00,0,54
2021-01-01 01,0,54
2021-01-01 03,0,52
2021-01-01 06,0,58
2021-01-01 09,415,82
2021-01-01 13,143,72
2021-01-01 16,82,72
2021-01-01 17,126,77
2021-01-01 18,0,70
2021-01-01 20,120,67
2021-01-01 22,0,58
2021-01-02 03,0,54
2021-01-02 05,11,56
2021-01-02 11,0,69
2021-01-02 12,182,74
2021-01-02 14,87,75
2021-01-02 15,0,61
2021-01-02 19,311,72
2021-01-02 22,0,58
2021-01-03 01,0,57
2021-01-03 04,0,53
2021-01-03 15,97,68
2021-01-03 18,1985,87
2021-01-03 23,0,61
2021-01-04 03,0,50
2021-01-04 05,0,50
2021-01-04 06,0,57
2021-01-04 07,1491,95
2021-01-04 08,360,98
2021-01-04 10,622,87
2021-01-04 13,579,84
2021-01-04 16,43,77
2021-01-04 22,44,57
2021-01-05 00,0,53
2021-01-05 01,0,55
2021-01-05 03,0,57
2021-01-05 05,91,58
2021-01-05 06,386,66
2021-01-05 07,731,84
2021-01-05 12,334,77
2021-01-05 14,18,80
2021-01-05 19,450,83
2021-01-05 22,11,55
2021-01-05 23,11,54
2021-01-06 00,0,54
2021-01-06 03,0,53
2021-01-06 07,900,95
2021-01-06 10,6,80
2021-01-06 11,41,77
2021-01-06 13,10,84
2021-01-06 14,188,84
2021-01-06 15,109,80
2021-01-06 18,857,87
2021-01-06 19,154,78
2021-01-06 21,0,57
2021-01-06 23,14,57
2021-01-07 01,0,59
2021-01-07 02,10,58
2021-01-07 03,0,54
2021-01-07 08,1162,102
2021-01-07 09,27,86
2021-01-07 10,54,85
2021-01-07 11,43,83
2021-01-07 12,0,79
2021-01-07 13,681,91
2021-01-07 14,37,87
2021-01-07 16,526,87
2021-01-07 21,521,78
2021-01-07 23,0,56
2021-01-08 00,0,54
2021-01-08 01,0,54
2021-01-08 02,0,53
2021-01-08 03,0,57
2021-01-08 05,0,58
2021-01-08 10,826,96
2021-01-08 12,1138,101
2021-01-08 14,195,84
2021-01-08 17,0,73
2021-01-08 18,439,78
2021-01-08 19,565,87
2021-01-08 20,133,71
2021-01-08 22,0,59
2021-01-08 23,0,60
2021-01-09 01,7,61
2021-01-09 03,8,62
2021-01-09 04,6,58
2021-01-09 10,82,76
2021-01-09 11,56,72
2021-01-09 12,220,73
2021-01-09 19,29,74
2021-01-09 20,63,71
2021-01-10 01,0,58
2021-01-10 02,8,56
2021-01-10 06,60,68
2021-01-10 14,211,68
2021-01-10 16,28,77
2021-01-10 17,495,75
2021-01-10 18,952,105
2021-01-10 19,300,78
2021-01-11 01,4,56
2021-01-11 02,0,55
2021-01-11 15,51,78
2021-01-11 18,24,77
2021-01-11 20,414,78
2021-01-11 22,36,62
2021-01-11 23,12,53
2021-01-12 00,0,53
2021-01-12 01,15,54
2021-01-12 06,88,65
2021-01-12 07,1136,112
2021-01-12 10,34,79
2021-01-12 12,538,82
2021-01-12 14,161,76
2021-01-12 16,336,78
2021-01-12 17,489,81
2021-01-12 18,601,83
2021-01-12 19,432,80
2021-01-12 23,7,54
2021-01-13 05,0,57
2021-01-13 07,310,74
2021-01-13 10,101,74
2021-01-13 11,519,78
2021-01-13 12,161,83
2021-01-13 17,410,70
2021-01-13 20,6,70
2021-01-13 21,0,56
2021-01-13 22,9,56
2021-01-13 23,8,54
2021-01-14 00,0,55
2021-01-14 01,7,58
2021-01-14 02,0,54
2021-01-14 03,0,54
2021-01-14 12,781,91
2021-01-14 15,0,78
2021-01-14 16,1964,91
2021-01-14 18,54,83
2021-01-14 22,159,79
2021-01-14 23,11,65
2021-01-15 02,16,58
2021-01-15 04,43,62
2021-01-15 09,506,87
2021-01-15 13,1656,95
2021-01-15 14,371,84
2021-01-15 15,301,80
2021-01-15 16,20,76
2021-01-15 18,612,82
2021-01-15 19,107,80
2021-01-15 21,0,59
2021-01-15 23,0,56
2021-01-16 00,0,57
2021-01-16 01,150,59
2021-01-16 02,0,56
2021-01-16 04,0,56
2021-01-16 05,0,56
2021-01-16 17,1930,84
2021-01-16 20,8,63
2021-01-17 05,7,55
2021-01-17 06,0,57
2021-01-17 09,1636,114
2021-01-17 13,226,78
2021-01-17 17,975,89
2021-01-17 20,2635,101
2021-01-17 23,6,56
2021-01-18 00,0,56
2021-01-18 06,5,55
2021-01-18 07,714,82
2021-01-18 10,497,82
2021-01-18 11,462,77
2021-01-18 13,1307,93
2021-01-18 14,7,80
2021-01-18 16,43,79
2021-01-18 18,617,76
2021-01-18 19,412,81
2021-01-18 23,0,60
2021-01-19 01,0,56
2021-01-19 06,91,69
2021-01-19 11,26,71
2021-01-19 12,302,76
2021-01-19 19,84,83
2021-01-19 21,107,73
2021-01-19 23,0,58
2021-01-20 03,0,55
2021-01-20 05,6,55
2021-01-20 07,2112,94
2021-01-20 08,1244,108
2021-01-20 09,50,85
2021-01-20 10,72,89
2021-01-20 12,701,91
2021-01-20 14,1306,88
2021-01-20 18,696,88
2021-01-20 20,99,72
2021-01-21 02,0,55
2021-01-21 04,0,57
2021-01-21 06,182,69
2021-01-21 11,37,73
2021-01-21 12,498,76
2021-01-21 13,130,85
2021-01-21 14,208,85
2021-01-21 15,675,82
2021-01-22 01,0,61
2021-01-22 03,9,57
2021-01-22 04,0,58
2021-01-22 05,0,58
2021-01-22 06,252,62
2021-01-22 08,286,78
2021-01-22 09,220,77
2021-01-22 13,887,90
2021-01-22 15,358,73
2021-01-22 17,364,77
2021-01-22 19,432,92
2021-01-22 23,0,57
2021-01-23 02,16,54
2021-01-23 07,747,84
2021-01-23 10,411,72
2021-01-23 11,13,73
2021-01-23 15,42,80
2021-01-24 02,0,57
2021-01-24 03,0,57
2021-01-24 04,0,57
2021-01-24 07,0,55
2021-01-24 09,62,82
2021-01-24 11,21,65
2021-01-24 14,328,74
2021-01-24 17,66,70
2021-01-24 22,4,56
2021-01-25 00,0,54
2021-01-25 05,0,52
2021-01-25 06,15,54
2021-01-25 08,450,102
2021-01-25 09,291,85
2021-01-25 10,725,88
2021-01-25 13,1507,92
2021-01-25 14,12,81
2021-01-25 15,28,81
2021-01-25 16,15,80
2021-01-25 17,0,77
2021-01-25 18,7,76
2021-01-25 19,477,87
2021-01-25 20,196,90
2021-01-25 21,363,87
2021-01-25 22,412,77
2021-01-25 23,5,61
2021-01-26 00,7,56
2021-01-26 02,0,56
2021-01-26 06,0,62
2021-01-26 07,588,72
2021-01-26 10,8,80
2021-01-26 12,218,79
2021-01-26 13,563,89
2021-01-26 14,6,87
2021-01-26 19,0,80
2021-01-26 20,884,84
2021-01-26 23,4,57
2021-01-27 02,0,54
2021-01-27 04,0,60
2021-01-27 05,100,68
2021-01-27 06,180,65
2021-01-27 07,30,59
2021-01-27 08,647,79
2021-01-27 10,52,74
2021-01-27 11,171,72
2021-01-27 12,408,91
2021-01-27 13,429,86
2021-01-27 15,807,90
2021-01-27 16,376,94
2021-01-27 19,0,72
2021-01-27 20,93,71
2021-01-27 22,0,57
2021-01-28 02,6,57
2021-01-28 03,0,56
2021-01-28 04,0,55
2021-01-28 06,72,75
2021-01-28 07,1897,104
2021-01-28 08,1145,104
2021-01-28 10,10,78
2021-01-28 12,94,81
2021-01-28 14,213,84
2021-01-28 15,207,81
2021-01-28 19,620,81
2021-01-28 20,712,83
2021-01-28 21,27,70
2021-01-29 00,4,59
2021-01-29 01,6,58
2021-01-29 02,0,56
2021-01-29 03,0,54
2021-01-29 11,2171,95
2021-01-29 14,175,85
2021-01-29 17,476,82
2021-01-29 20,263,70
2021-01-29 21,0,57
2021-01-30 01,0,55
2021-01-30 10,0,64
2021-01-30 11,154,69
2021-01-30 13,726,82
2021-01-30 14,206,78
2021-01-30 15,462,71
2021-01-30 20,168,68
2021-01-30 22,0,58
2021-01-30 23,0,54
2021-01-31 00,7,53
2021-01-31 01,0,52
2021-01-31 06,7,57
2021-01-31 08,88,67
2021-01-31 11,12,67
2021-01-31 13,40,63
2021-01-31 14,0,62
2021-01-31 16,26,65
2021-01-31 20,25,76
2021-01-31 21,27,71
2021-02-01 00,0,53
2021-02-01 02,0,54
2021-02-01 06,92,60
2021-02-01 08,1226,117
2021-02-01 11,1385,90
2021-02-01 12,771,92
2021-02-01 14,14,87
2021-02-01 16,51,83
2021-02-01 19,793,85
2021-02-01 20,669,86
2021-02-01 21,185,77
2021-02-01 23,10,56
2021-02-02 02,0,52
2021-02-02 03,0,53
2021-02-02 12,41,79
2021-02-02 13,738,88
2021-02-02 17,147,81
2021-02-02 20,355,81
2021-02-02 22,0,55
2021-02-03 02,0,54
2021-02-03 04,13,59
2021-02-03 06,16,63
2021-02-03 08,849,98
2021-02-03 09,21,85
2021-02-03 10,24,79
2021-02-03 12,1447,103
2021-02-03 13,1110,91
2021-02-03 17,1171,86
2021-02-03 20,8,66
2021-02-04 02,0,49
2021-02-04 04,4,56
2021-02-04 05,40,57
2021-02-04 06,511,68
2021-02-04 07,1321,96
2021-02-04 10,33,73
2021-02-04 11,17,74
2021-02-04 12,15,72
2021-02-04 13,649,84
2021-02-04 15,30,78
2021-02-04 16,4,73
2021-02-04 18,5,78
2021-02-04 19,1114,82
2021-02-04 22,185,61
2021-02-04 23,0,55
2021-02-05 02,0,53
2021-02-05 04,7,58
2021-02-05 07,1328,102
2021-02-05 09,471,86
2021-02-05 11,1398,79
2021-02-05 13,528,84
2021-02-05 15,492,79
2021-02-05 16,169,74
2021-02-05 18,516,77
2021-02-06 02,0,55
2021-02-06 05,0,52
2021-02-06 06,0,58
2021-02-06 09,129,77
2021-02-06 10,0,71
2021-02-06 12,64,74
2021-02-06 14,8,64
2021-02-06 17,275,78
2021-02-06 18,21,73
2021-02-06 19,219,69
2021-02-06 23,4,56
2021-02-07 00,5,58
2021-02-07 04,0,57
2021-02-07 08,65,72
2021-02-07 10,16,71
2021-02-07 14,163,76
2021-02-07 15,77,82
2021-02-07 16,22,67
2021-02-07 21,16,63
2021-02-07 22,219,65
2021-02-07 23,0,56
2021-02-08 01,20,53
2021-02-08 09,538,84
2021-02-08 11,1435,85
2021-02-08 13,655,84
2021-02-08 14,14,79
2021-02-08 17,16,71
2021-02-08 18,317,78
2021-02-08 23,0,51
2021-02-09 01,0,54
2021-02-09 02,17,56
2021-02-09 04,0,53
2021-02-09 08,472,96
2021-02-09 10,12,75
2021-02-09 11,52,73
2021-02-09 12,8,74
2021-02-09 16,199,85
2021-02-09 21,120,76
2021-02-09 22,166,68
2021-02-10 00,0,54
2021-02-10 01,0,53
2021-02-10 03,15,52
2021-02-10 04,13,58
2021-02-10 05,0,59
2021-02-10 06,143,75
2021-02-10 08,893,100
2021-02-10 11,78,87
2021-02-10 15,478,81
2021-02-10 18,455,85
2021-02-10 20,21,80
2021-02-10 21,51,68
2021-02-10 23,0,61
2021-02-11 00,0,56
2021-02-11 01,0,57
2021-02-11 02,46,59
2021-02-11 03,4,65
2021-02-11 05,26,61
2021-02-11 06,5,60
2021-02-11 07,228,71
2021-02-11 09,227,76
2021-02-11 12,159,77
2021-02-11 13,155,78
2021-02-11 14,0,68
2021-02-11 15,16,70
2021-02-11 16,851,86
2021-02-12 00,0,54
2021-02-12 02,0,51
2021-02-12 03,0,52
2021-02-12 04,14,51
2021-02-12 05,0,54
2021-02-12 06,79,66
2021-02-12 09,1121,93
2021-02-12 10,360,83
2021-02-12 12,434,80
2021-02-12 13,34,83
2021-02-12 14,256,87
2021-02-12 15,829,87
2021-02-12 18,199,77
2021-02-12 19,96,72
2021-02-12 20,110,73
2021-02-12 23,0,55
2021-02-13 06,0,57
2021-02-13 10,1731,90
2021-02-13 11,2188,90
2021-02-13 14,308,91
2021-02-13 15,43,82
