timestamp,steps,bpm
2021-01-01 0,47,70.81818
2021-01-01 1,0,70.87272
2021-01-01 2,0,66.45455
2021-01-01 3,10,67.2
2021-01-01 4,6,64.89395
2021-01-01 5,0,66.18182
2021-01-01 6,230,71.51516667
2021-01-01 7,0,66.36362
2021-01-01 8,0,61.21213333
2021-01-01 9,0,64.3091
2021-01-01 10,74,72.85454
2021-01-01 11,1509,90.71208333
2021-01-01 12,3629,110.5086
2021-01-01 14,30,85.0909
2021-01-01 15,346,82.61818
2021-01-01 16,0,75.1818
2021-01-01 17,185,74.85454
2021-01-01 18,187,84.4394
2021-01-01 19,34,77.36364
2021-01-01 20,46,82.98483333
2021-01-01 21,104,81.54546
2021-01-01 22,52,72.98483333
2021-01-01 23,0,73.75454
2021-01-02 0,8,74.19695
2021-01-02 1,0,71.69092
2021-01-02 2,0,72.06061667
2021-01-02 3,0,68.92726
2021-01-02 4,0,69.2879
2021-01-02 5,0,69.98184
2021-01-02 6,0,69.07576667
2021-01-02 7,0,69.16364
2021-01-02 8,9,70.80303333
2021-01-02 9,116,76.96364
2021-01-02 10,54,74.78182
2021-01-02 11,107,79.51515
2021-01-02 12,6,72.14546
2021-01-02 13,28,70.48486667
2021-01-02 14,412,75
2021-01-02 15,623,78.45455
2021-01-02 16,17,71.19998
2021-01-02 17,6,71.07576667
2021-01-02 18,14,68.92728
2021-01-02 19,340,80.39518333
2021-01-02 20,21,73.14546
2021-01-02 21,13,68.03636
2021-01-02 22,38,66.08585
2021-01-02 23,13,67.72546
2021-01-03 0,0,66.7424
2021-01-03 1,0,65.30908
2021-01-03 2,0,70.16665
2021-01-03 3,0,63.34544
2021-01-03 4,0,64.40908333
2021-01-03 5,0,65.18182
2021-01-03 6,206,71.03941667
2021-01-03 7,0,62.43636
2021-01-03 8,5,66.4697
2021-01-03 11,0,63
2021-01-03 14,166,77.3333
2021-01-03 15,517,76.25
2021-01-03 16,4376,103.56358
2021-01-03 17,116,85.80305
2021-01-03 18,4,85.74544
2021-01-03 19,70,82.74546667
2021-01-03 20,176,81.83634
2021-01-03 21,40,78.1273
2021-01-03 22,0,73.84848333
2021-01-03 23,9,71.9382
2021-01-04 0,0,70.19698333
2021-01-04 1,0,77.16364
2021-01-04 2,0,67.89393333
2021-01-04 3,0,71.03636
2021-01-04 4,0,65.72728333
2021-01-04 5,4,69.69092
2021-01-04 6,211,76.61213333
2021-01-04 7,0,71.6909
2021-01-04 8,120,75.12121667
2021-01-04 9,37,72.34544
2021-01-04 10,0,74.8766
2021-01-04 11,1628,109.818
2021-01-04 12,5549,110.97265
2021-01-04 13,311,84
2021-01-04 19,22,72.272725
2021-01-04 20,66,74.54544
2021-01-04 21,126,76.07575
2021-01-04 22,11,72.32728
2021-01-04 23,96,72.58182
2021-01-05 0,10,68.19698333
2021-01-05 1,8,74.21818
2021-01-05 2,0,70.48485
2021-01-05 3,0,69.25454
2021-01-05 4,0,76.13636667
2021-01-05 5,0,71.7091
2021-01-05 6,4,69.57576667
2021-01-05 7,0,72.23638
2021-01-05 8,34,75.48483333
2021-01-05 9,40,73.36362
2021-01-05 10,0,71.94544
2021-01-05 11,81,83.54546667
2021-01-05 12,0,73.90476667
2021-01-05 13,49,65.87772
2021-01-05 14,787,84.2909
2021-01-05 15,0,73.3818
2021-01-05 16,10,72.30305
2021-01-05 17,0,72.87272
2021-01-05 18,7,71.34848333
2021-01-05 19,60,73.29092
2021-01-05 20,142,82.89391667
2021-01-05 21,54,76.34546
2021-01-05 22,173,77.57575
2021-01-05 23,49,74.09094
2021-01-06 0,0,71.24243333
2021-01-07 0,65,70.36363333
2021-01-07 1,7,64.52728
2021-01-07 2,0,70.18181667
2021-01-07 3,0,69.67272
2021-01-07 4,7,67.81816667
2021-01-07 5,242,72.63638
2021-01-07 6,215,74.34848333
2021-01-07 7,33,75.23638
2021-01-07 8,381,77.92425
2021-01-07 9,350,83.34544
2021-01-07 10,10,77.4
2021-01-07 11,0,75.468175
2021-01-07 14,0,59.1429
2021-01-07 15,402,59.6667
2021-01-07 16,1133,88.59096667
2021-01-07 17,75,82.90908
2021-01-07 18,32,78.13635
2021-01-07 19,1719,91.4182
2021-01-07 20,118,81.5909
2021-01-07 21,48,74.92728
2021-01-07 22,0,69.97924
2021-01-08 0,0,69.53031667
2021-01-08 1,7,74.2909
2021-01-08 2,0,67.92425
2021-01-08 3,0,69.70912
2021-01-08 4,0,71.51516667
2021-01-08 5,0,68.09092
2021-01-08 6,173,71.37878333
2021-01-08 7,43,69.56364
2021-01-08 8,176,74.68181667
2021-01-08 9,0,71.1091
2021-01-08 10,132,81.14285
2021-01-08 12,318,116.545
2021-01-08 13,5266,123.2445
2021-01-08 14,52,89.775
2021-01-08 15,299,99.90135
2021-01-10 9,112,88.3333
2021-01-10 10,15,69.2909
2021-01-10 11,0,64.24243333
2021-01-10 12,0,65.27272
2021-01-10 13,171,75.40908333
2021-01-10 14,465,81.26
2021-01-10 15,305,74.37576667
2021-01-10 16,0,65.43636
2021-01-10 17,6,66.63634
2021-01-10 18,232,84.5995
2021-01-10 19,53,75.17572
2021-01-10 20,204,70.66363333
2021-01-10 22,11,68.51516667
2021-01-10 23,31,70.42423333
2021-01-11 0,0,65.01515
2021-01-11 1,0,64.58182
2021-01-11 2,0,61.93938333
2021-01-11 3,0,63.98182
2021-01-11 4,0,64.25756667
2021-01-11 5,0,63.6
2021-01-11 6,0,65.27273333
2021-01-11 7,64,74.42182
2021-01-11 13,194,79.11272
2021-01-11 14,805,83.92726
2021-01-11 15,0,76.13636667
2021-01-11 16,0,71.76364
2021-01-11 17,35,71.80303333
2021-01-11 18,138,78.14542
2021-01-11 19,0,73.59998
2021-01-11 20,61,70.69696667
2021-01-11 21,371,76.34544
2021-01-11 22,1015,83.95455
2021-01-11 23,28,65.85658
2021-01-12 0,0,62.04545
2021-01-12 1,0,68.36362
2021-01-12 2,10,64.37878333
2021-01-12 3,28,65.32726
2021-01-12 4,20,63.63635
2021-01-12 5,0,63.83636
2021-01-12 6,0,64.02546
2021-01-12 7,66,71.07576667
2021-01-12 8,294,78.94544
2021-01-12 9,56,70.0606
2021-01-12 10,24,68.47274
2021-01-12 11,261,71.60606667
2021-01-12 12,35,102.59818
2021-01-12 13,249,70
2021-01-12 14,5928,119.6230667
2021-01-12 15,253,92.07272
2021-01-12 16,0,96
2021-01-12 17,0,97
2021-01-12 19,127,85.0606
2021-01-12 20,49,76.52728
2021-01-12 21,133,71.45453333
2021-01-12 22,16,69.25452
2021-01-12 23,0,74.97348333
2021-01-13 0,0,76.09091667
2021-01-13 1,0,68.6
2021-01-13 2,15,67.9091
2021-01-13 3,0,66.03636
2021-01-13 4,0,64.71211667
2021-01-13 5,24,70.21818
2021-01-13 6,31,68.5
2021-01-13 7,9,69.23636
2021-01-13 8,362,74.35152
2021-01-13 9,247,82.31818333
2021-01-13 10,58,77.25454
2021-01-13 11,625,82.74241667
2021-01-13 12,3267,98.80006
2021-01-13 13,2521,92.09092
2021-01-13 14,940,91.25151667
2021-01-13 15,2234,97.09092
2021-01-13 16,3357,101.27285
2021-01-13 17,3465,104.09082
2021-01-13 18,593,102.8181667
2021-01-13 19,281,102.76366
2021-01-13 20,263,99.96968333
2021-01-13 21,0,98.6667
2021-01-14 0,9,75.78786667
2021-01-14 1,0,80.87272
2021-01-14 2,0,77.01513333
2021-01-14 3,0,71.67274
2021-01-14 4,10,71.59091667
2021-01-14 5,0,70.4909
2021-01-14 6,192,75.07575
2021-01-14 7,0,69.96364
2021-01-14 8,0,72.53028333
2021-01-14 9,35,72.89092
2021-01-14 10,65,73.65454
2021-01-14 11,14,75.19696667
2021-01-14 12,0,70.4
2021-01-14 13,147,69.71215
2021-01-14 14,60,91.197
2021-01-17 0,0,69.19696667
2021-01-17 1,0,63.23636
2021-01-17 2,0,67.36363333
2021-01-17 3,0,63.8909
2021-01-17 4,0,59.42423333
2021-01-17 5,0,60.8182
2021-01-17 6,0,63.69698333
2021-01-17 7,0,61.61818
2021-01-17 8,0,64.0909
2021-01-17 9,56,66.1818
2021-01-17 10,33,62.30908
2021-01-17 11,34,62.55151667
2021-01-17 12,208,70.36362
2021-01-17 13,208,85.60425
2021-01-17 14,251,83.10001667
2021-01-17 15,20,71.09092
2021-01-17 16,7,68.33333333
2021-01-17 17,6787,132.8072
2021-01-17 18,0,107.1665
2021-01-17 22,152,71.83636
2021-01-17 23,96,70.06182
2021-01-18 0,11,66.68181667
2021-01-18 1,6,60.50908
2021-01-18 2,5,65.9394
2021-01-18 3,12,63.4909
2021-01-18 4,0,61.60605
2021-01-18 5,297,71.21818
2021-01-18 6,425,75.85985
2021-01-18 7,620,72.69695
2021-01-18 8,214,72.58182
2021-01-18 9,35,73.33333333
2021-01-18 10,222,82.01818
2021-01-18 11,1811,86.2576
2021-01-18 12,2214,94.43638
2021-01-18 13,1537,89.65456
2021-01-18 14,1612,84.7
2021-01-18 15,794,69.5091
2021-01-18 16,135,72.1591
2021-01-18 17,35,74.58724
2021-01-18 18,146,76.71211667
2021-01-18 19,270,79.44
2021-01-18 20,80,71.20455
2021-01-18 21,18,67.90908
2021-01-18 22,0,65.19698333
2021-01-18 23,0,62.5788
2021-01-19 0,0,64.69695
2021-01-19 1,0,62.32728
2021-01-19 2,19,62.33333333
2021-01-19 3,15,63.6
2021-01-19 4,0,59.45455
2021-01-19 5,0,59.36362
2021-01-19 6,0,61.6818
2021-01-19 7,23,68.38182
2021-01-19 8,12,68.51516667
2021-01-19 9,0,66.8182
2021-01-19 11,394,82.0303
2021-01-19 12,172,80.41558333
2021-01-19 13,26,73.45454
2021-01-19 14,9,70.86363333
2021-01-19 15,217,71.34546
2021-01-19 16,42,69.01816
2021-01-19 17,120,64.65153333
2021-01-19 18,734,81.52728
2021-01-19 19,9,78.0909
2021-01-20 0,0,65.18181667
2021-01-20 1,0,62.25456
2021-01-20 2,0,65.81818333
2021-01-20 3,0,64.23636
2021-01-20 4,0,64.92423333
2021-01-20 5,0,61.70906
2021-01-20 6,412,68.53031667
2021-01-20 7,6,65.4182
2021-01-20 8,19,64.1515
2021-01-20 9,0,63.7273
2021-01-20 10,178,72.901525
2021-01-20 11,304,69.87878333
2021-01-20 12,410,71
2021-01-20 13,393,78.27273333
2021-01-20 14,235,76.27274
2021-01-20 15,1600,92.16368
2021-01-20 16,528,87.13638333
2021-01-20 17,245,74.14285
2021-01-20 22,119,66.7091
2021-01-20 23,57,67.73333333
2021-01-22 0,0,59.27271667
2021-01-22 1,0,61.83638
2021-01-22 2,15,58.60606667
2021-01-22 3,7,59.47272
2021-01-22 4,0,57.80303333
2021-01-22 5,0,61.14544
2021-01-22 6,0,58.5
2021-01-22 7,85,62.69092
2021-01-22 8,0,64.39393333
2021-01-22 9,13,63.87274
2021-01-22 10,106,65.3091
2021-01-22 11,52,69.38418333
2021-01-22 13,60,75.1818
2021-01-22 14,100,68.96362
2021-01-22 15,0,66.75756667
