steps,bpm,state
47,70.81818,2
0,70.87272,2
0,66.45455,1
10,67.2,2
6,64.89395,2
0,66.18182,1
230,71.51516667,2
0,66.36362,1
0,61.21213333,1
0,64.3091,1
74,72.85454,2
1509,90.71208333,2
3629,110.5086,3
30,85.0909,2
346,82.61818,2
0,75.1818,2
185,74.85454,2
187,84.4394,2
34,77.36364,2
46,82.98483333,2
104,81.54546,2
52,72.98483333,2
0,73.75454,2
8,74.19695,2
0,71.69092,2
0,72.06061667,2
0,68.92726,1
0,69.2879,1
0,69.98184,1
0,69.07576667,1
0,69.16364,1
9,70.80303333,2
116,76.96364,2
54,74.78182,2
107,79.51515,2
6,72.14546,2
28,70.48486667,2
412,75,2
623,78.45455,2
17,71.19998,2
6,71.07576667,2
14,68.92728,2
340,80.39518333,2
21,73.14546,2
13,68.03636,2
38,66.08585,2
13,67.72546,2
0,66.7424,1
0,65.30908,1
0,70.16665,2
0,63.34544,1
0,64.40908333,1
0,65.18182,1
206,71.03941667,2
0,62.43636,1
5,66.4697,2
0,63,1
166,77.3333,2
517,76.25,2
4376,103.56358,3
116,85.80305,2
4,85.74544,2
70,82.74546667,2
176,81.83634,2
40,78.1273,2
0,73.84848333,2
9,71.9382,2
0,70.19698333,2
0,77.16364,2
0,67.89393333,1
0,71.03636,2
0,65.72728333,1
4,69.69092,2
211,76.61213333,2
0,71.6909,2
120,75.12121667,2
37,72.34544,2
0,74.8766,2
1628,109.818,3
5549,110.97265,3
311,84,2
22,72.272725,2
66,74.54544,2
126,76.07575,2
11,72.32728,2
96,72.58182,2
10,68.19698333,2
8,74.21818,2
0,70.48485,2
0,69.25454,1
0,76.13636667,2
0,71.7091,2
4,69.57576667,2
0,72.23638,2
34,75.48483333,2
40,73.36362,2
0,71.94544,2
81,83.54546667,2
0,73.90476667,2
49,65.87772,2
787,84.2909,2
0,73.3818,2
10,72.30305,2
0,72.87272,2
7,71.34848333,2
60,73.29092,2
142,82.89391667,2
54,76.34546,2
173,77.57575,2
49,74.09094,2
0,71.24243333,2
65,70.36363333,2
7,64.52728,2
0,70.18181667,2
0,69.67272,1
7,67.81816667,2
242,72.63638,2
215,74.34848333,2
33,75.23638,2
381,77.92425,2
350,83.34544,2
10,77.4,2
0,75.468175,2
0,59.1429,1
402,59.6667,2
1133,88.59096667,2
75,82.90908,2
32,78.13635,2
1719,91.4182,2
118,81.5909,2
48,74.92728,2
0,69.97924,1
0,69.53031667,1
7,74.2909,2
0,67.92425,1
0,69.70912,1
0,71.51516667,2
0,68.09092,1
173,71.37878333,2
43,69.56364,2
176,74.68181667,2
0,71.1091,2
132,81.14285,2
318,116.545,2
5266,123.2445,3
52,89.775,2
299,99.90135,2
112,88.3333,2
15,69.2909,2
0,64.24243333,1
0,65.27272,1
171,75.40908333,2
465,81.26,2
305,74.37576667,2
0,65.43636,1
6,66.63634,2
232,84.5995,2
53,75.17572,2
204,70.66363333,2
11,68.51516667,2
31,70.42423333,2
